Participant_id,Pair_id,Condition,The brainstorming method helped me generate a diverse range of ideas.,I felt that the ideas generated were innovative and original.,I felt highly motivated to contribute ideas throughout the brainstorming session.,How engaged did you feel during the brainstorming session?,The brainstorming method helped organize my thoughts effectively.,How efficient was the brainstorming tool in helping you generate ideas within the allocated time?,Mental demand,Physical demand,Temporal demand,Performance,Effort,Frustration,tlx,"Overall, how satisfied are you with AIMR brainstorming method?",Which brainstorming method did you prefer overall?,Which brainstorming method make you feel more engaged and motivated during the brainstorming sessions?,Which brainstorming method make you feel more efficient?,Which brainstorming method made you feel more creative?,"This AIMR system is developed as a prototype. If this system were fully developed (e.g., improved user interface, idea management, enhanced features with AI refinement), I think that I would like to use this system frequently",To what extent did the AI-generated ideas enhance the overall effectiveness of the brainstorming session?,"Compared to manual brainstorming techniques, how valuable was the AI’s role in capturing and refining ideas?","If you would like, please elaborate on your opinion or on your answers to the above question(s)","General Opinions
I believe immersive technology can enhance brainstorming sessions.","After using the MR system, I am comfortable using immersive technology for work or creative purposes.",I believe that AI technology could enhance brainstorming conversations.,"Final thoughts
How could the MR system be improved for future brainstorming sessions?","What challenges, if any, did you encounter when using the MR system?",To what extent did the Mixed Reality visualization and interactions enhance the overall effectiveness of your brainstorming session?,Please rate the following features in the AIMR system: [Automatic generation of ideas],Please rate the following features in the AIMR system: [Clustering / collecting of ideas],Please rate the following features in the AIMR system: [Connecting of ideas],"Please rate the following features in the AIMR system: [Deleting (""burning"") a single idea]",Please rate the following features in the AIMR system: [Ability to skip all current ideas],Please rate the following features in the AIMR system: [Option to save the idea graph],Please rate the following features in the AIMR system: [Physics-based interaction between the idea nodes],What about the AIMR system did you enjoy? or not enjoy?,Column 41,efficiency_numeric
13,7,Sticky notes,5,6,6,6,5,4,19,12,17,12,8,15,13.833333333333334,5,The AIMR System,The AIMR System,Sticky notes,The AIMR System,7,5,5,NA,6,5,7,Online collaborative interface for all creators to view and edit in realtime,Repeated recognition of the same key word by AI,7,Very Satisfied,Satisfied,Neutral,Neutral,Unsatisfied,Satisfied,Very Satisfied,NA,NA,NA
14,7,Sticky notes,4,2,4,6,5,4,16,13,11,11,9,5,10.833333333333334,5,Both,Both,Sticky notes,The AIMR System,4,4,7,NA,7,6,7,it is better if AI can generate a list of ideas that related to my conversation rather than only three nodes,node connection is kinda difficult,3,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
15,8,AIMR,4,4,4,5,6,4,1,1,1,1,11,1,2.6666666666666665,7,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,5,5,NA,7,7,7,Generate more new ideas (Different from what the users said,NA,5,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
16,8,AIMR,5,6,6,6,6,6,6,1,11,17,8,5,8,6,Both,The AIMR System,The AIMR System,The AIMR System,7,6,7,NA,7,7,7,users see and manipulate the same nodes instead of each doing their own,NA,6,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
17,9,AIMR,3,4,4,6,2,3,14,1,18,8,18,15,12.333333333333334,7,Sticky notes,The AIMR System,Sticky notes,Sticky notes,4,1,3,I think having the AI generated summaries was not as effective. We were saying a lot of thoughts at once and not being able to see all ideas were frustrating. I was waiting for certain summaries to appear so that I could use them.,5,3,4,I think having more than 3 summaries would be nice maybe having a larger board available.,I felt I wanted to connect ideas that were said early in our dialogue with ideas from the past but could not because they weren’t appearing fast enough.,4,Unsatisfied,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,NA,NA,NA
18,9,AIMR,3,3,4,6,6,4,4,3,9,17,6,2,6.833333333333333,7,Both,Sticky notes,The AIMR System,Both,7,4,3,"I think the AI tool was very efficient in allowing us to group various ideas into the clusters that we desired, as well as connecting the ideas them selves. I do think that the generation of ideas based on speak was a little slow, making it more difficult to have the ideas needed to organize.",6,5,6,Give the ability to write things down in the mix reality space? Or rather be able to type it out.,Minor bugs such as the wobbling and jumping of clusters.,6,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
19,10,Sticky notes,6,3,5,5,6,5,10,6,13,13,9,5,9.333333333333334,4,Neither,Sticky notes,The AIMR System,Sticky notes,5,2,2,"The ar sometimes records chatting which is not a fully developed idea, I also find it hard to find nodes I’m looking for to get generated",5,3,4,"It’s a prettier and more organized visual graph, it also occupies a nice real life space",Physical eye strain.,4,Very unsatisfied,Unsatisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,"I enjoyed watching the nodes physical simulation, I didn’t enjoy the complexity of finding nodes and organizing them at the end",NA,NA
20,10,Sticky notes,4,2,3,4,4,4,9,2,13,8,12,5,8.166666666666666,1,Sticky notes,Sticky notes,Sticky notes,Sticky notes,1,1,1,NA,1,1,1,allow the user to directly write/capture an idea into a node,NA,1,Unsatisfied,Neutral,Neutral,Neutral,Unsatisfied,Neutral,Neutral,some ideas were quickly skipped over when using skip nodes,NA,NA
21,11,AIMR,5,5,7,7,5,6,11,1,7,10,12,12,8.833333333333334,7,Both,The AIMR System,The AIMR System,Both,5,5,4,NA,5,6,6,Fixing the bugs,NA,5,Satisfied,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Unsatisfied,Unsatisfied,NA,NA,NA
22,11,AIMR,4,3,3,3,3,4,14,11,12,13,9,14,12.166666666666666,3,Sticky notes,Sticky notes,Sticky notes,Sticky notes,3,3,3,NA,4,3,3,Just making it less complicated and instead maybe a digital tool based on AI but not VR could be more useful and efficient.,NA,2,Neutral,Unsatisfied,Unsatisfied,Neutral,Unsatisfied,Unsatisfied,Unsatisfied,NA,NA,NA
25,13,Sticky notes,5,4,5,5,5,3,16,5,17,10,12,11,11.833333333333334,7,Both,The AIMR System,The AIMR System,The AIMR System,6,6,6,NA,7,7,7,Collab with ppl,NA,7,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,I really like the fire sound! Very calming!!,NA,NA
26,13,Sticky notes,5,3,4,5,4,4,17,2,6,11,10,12,9.666666666666666,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,6,5,NA,6,6,6,It could help us better visualize the ideas in a more immersive environment.,"Sometimes the main panel was accidentally moved, and I will need to readjust it",6,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,I like how I was forced to cluster them into 3 groups.,NA,NA
27,14,Sticky notes,2,5,2,4,3,4,6,4,11,7,9,12,8.166666666666666,5,Both,Both,The AIMR System,The AIMR System,7,5,5,"The convenience of having the brainstorm be automated is what I see as the value of this task, however it is still very hands on.",7,5,7,"Make the node connection and generation be seamless, and not on the user. The system should be good enough to create the brainstorm on its own, and then changing the graph as a human should be easy",NA,5,Very Satisfied,Unsatisfied,Neutral,Satisfied,Neutral,Neutral,Very unsatisfied,NA,NA,NA
28,14,Sticky notes,5,5,5,5,5,5,8,2,8,5,10,10,7.166666666666667,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,6,6,6,NA,6,5,6,More node options,Nodes would come in too slow and there wasn’t enough clusters,6,Satisfied,Satisfied,Satisfied,Unsatisfied,Satisfied,Satisfied,Satisfied,Enjoyed,NA,NA
29,15,Sticky notes,6,3,4,3,2,4,13,3,9,11,16,9,10.166666666666666,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,6,5,5,"I feel like it removes the friction between idea and writing, which slows down the brainstorming process",6,7,6,"Having the ideas be closer, some were randomly very far",Some ideas were registered a lot of times,6,Neutral,Very Satisfied,Neutral,Unsatisfied,Unsatisfied,Very Satisfied,Satisfied,It felt very natural to simply speak and get the system to register them without worrying about it,NA,NA
30,15,Sticky notes,3,3,6,6,4,2,13,5,16,12,17,14,12.833333333333334,5,Both,The AIMR System,The AIMR System,The AIMR System,7,5,5,NA,6,6,6,It was great,NA,6,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Neutral,NA,NA,NA
31,16,AIMR,4,4,6,6,5,3,13,6,6,12,8,3,8,6,The AIMR System,The AIMR System,Sticky notes,The AIMR System,5,3,3,"I feel like the AI just focus on the content not combining with topic, so the generated gray bubbles are sometimes not correct",6,4,6,"Uiux, change the color after the bubbles are generated",Hard to brainstorm when I need to check the gray bubbles,5,Neutral,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,NA,NA
32,16,AIMR,4,3,5,3,5,3,12,11,8,13,9,12,10.833333333333334,4,Both,Both,Both,The AIMR System,4,4,4,NA,5,3,5,need more guiding for new users,NA,6,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,nice ambient sound！,NA,NA
33,17,AIMR,3,3,3,3,4,4,18,7,9,16,11,11,12,4,Sticky notes,Sticky notes,Sticky notes,Sticky notes,4,3,3,It kept generating the same phrases over and over again,4,5,5,"I think that making both players be able to see the same categories would really help-- like see the same things, maybe both have their own dashboard and nodes but then connect them together and stuff",NA,5,Unsatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
34,17,AIMR,3,4,3,3,3,2,12,7,16,7,11,13,11,3,Sticky notes,Sticky notes,Sticky notes,Sticky notes,3,2,3,If the AIMR were able to offload and save the brainstorming it would be useful on the computer instead of copying sticky notes down. Seems promising!!,5,5,4,I think improving UI/UX components and functionality to offload data to a computer would be great!,difficult to control the nodes,2,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Satisfied,Satisfied,Neutral,it was a fun exercise,NA,NA
1,1,Sticky notes,7,7,7,7,7,6,5,1,5,1,2,1,2.5,7,Both,Sticky notes,Sticky notes,Both,7,5,4,"I think AI could really be used to summarize a really lengthy discussion, and to be able to concisely verbalize large-concept ideas.",6,7,7,Be able to see the other person's nodes and connect with them!,"When I had to decide which folder to put the idea nodes in, I felt like I was not following any standardized rule - I was just placing them instinctively, I would want to be able to rearrange them more after the discussion.",5,Satisfied,Unsatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
2,1,Sticky notes,6,4,5,5,5,4,15,5,11,6,9,4,8.333333333333334,6,The AIMR System,The AIMR System,Sticky notes,The AIMR System,7,6,7,I really felt like I was able to focus on ideas more with the AIMR; because I wasn't concerned about recording info like I was with the sticky notes,7,6,6,I think maybe a mini description about how to use each button would be best,"Sometimes it was hard to link notes, but putting notes into the folder directly was very simple.",6,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Very Satisfied,NA,NA,NA
3,2,AIMR,4,3,4,3,3,3,21,8,17,7,18,8,13.166666666666666,4,Sticky notes,Sticky notes,Sticky notes,Sticky notes,4,3,4,NA,3,6,5,n/a,NA,4,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
4,2,AIMR,4,5,5,5,6,6,16,11,7,14,15,10,12.166666666666666,5,Sticky notes,Both,Sticky notes,The AIMR System,5,5,3,NA,5,5,4,having user instructions at the begining of the session embeded within the MR system would help,NA,3,Neutral,Unsatisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
5,3,AIMR,6,5,6,5,6,6,3,9,12,4,6,6,6.666666666666667,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,5,6,5,"I feel it's a bit hard to divide the nodes through put them in different folder, but it actually help with organize my idea",5,6,6,"it's a great idea! But to some extent, it sometimes let me feel disruptive when I enter into a new point but my last sentences node just appear",i think it has a learning curve at first,2,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Unsatisfied,NA,NA,NA
6,3,AIMR,4,3,3,4,3,4,8,17,4,4,15,17,10.833333333333334,5,Both,The AIMR System,Sticky notes,Neither,6,3,2,If the AI can filter the conversation and pick up meaningful points without having to manually delete them all the time it would be great. Maybe having a button to press to start recording could do it nicely.,6,6,7,"Having better UI and easier controls, controller support, better spatial anchor of spawn points",Having to delete meaningless word clusters constantly breaks the stream of thought,5,Unsatisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,NA,NA,NA
7,4,Sticky notes,5,6,5,5,6,7,15,6,11,13,17,7,11.5,5,Sticky notes,The AIMR System,Sticky notes,Sticky notes,3,5,5,"I feel like the use of MR is effective in use; however, my main concern is accessibility. Sticky notes is easy to do anywhere and can be bought cheap, while a VR set is money and needs space.",7,5,7,"The MR system can be improved by having more steady software, so less visual shakage.","It went black once, but it was quickly fixed.",5,Satisfied,Unsatisfied,Satisfied,Unsatisfied,Satisfied,Very Satisfied,Satisfied,NA,NA,NA
8,4,Sticky notes,3,3,3,3,3,3,16,11,10,12,13,13,12.5,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,7,5,"Instead of focusing on the next thing to write down so we could have ideas, they came and went as we talked. The AI was useful in allowing you to speak and collaborate.",6,6,6,Maybe less shake but it's good!,N/A,6,Unsatisfied,Very Satisfied,Satisfied,Unsatisfied,Neutral,Neutral,Unsatisfied,NA,NA,NA
9,5,Sticky notes,4,4,7,7,3,4,11,4,5,6,6,4,6,5,Both,Both,Sticky notes,Both,7,2,5,I feel like ai is more capable of capturing ideas than giving me related/divergent ideas,6,7,7,I think it is potential as it creates space to store the ideas and manage them. It is a little hard to accurately delete or classify the ideas and nodes. if using controller will be easier,"collision not accurate
network issue
ai generated ideas not innovative enough",5,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
10,5,Sticky notes,7,7,7,7,7,7,5,6,16,16,20,1,10.666666666666666,7,The AIMR System,The AIMR System,Sticky notes,Both,7,7,7,"The ai tool can display what i said, which is effective.",7,7,7,The MR system can use more advanced AI tool to help the brainstorming.,Sometime there is overlay between bubbles and the panel.,2,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Unsatisfied,Unsatisfied,NA,NA,NA
13,7,AIMR,6,6,7,6,3,3,6,13,8,8,9,9,8.833333333333334,5,The AIMR System,The AIMR System,Sticky notes,The AIMR System,7,5,5,NA,6,5,7,Online collaborative interface for all creators to view and edit in realtime,Repeated recognition of the same key word by AI,7,Very Satisfied,Satisfied,Neutral,Neutral,Unsatisfied,Satisfied,Very Satisfied,NA,NA,NA
14,7,AIMR,5,5,4,4,4,5,11,13,9,9,9,4,9.166666666666666,5,Both,Both,Sticky notes,The AIMR System,4,4,7,NA,7,6,7,it is better if AI can generate a list of ideas that related to my conversation rather than only three nodes,node connection is kinda difficult,3,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
15,8,Sticky notes,3,3,3,3,3,3,11,11,11,11,11,16,11.833333333333334,7,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,5,5,NA,7,7,7,Generate more new ideas (Different from what the users said,NA,5,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
16,8,Sticky notes,4,4,5,6,3,2,13,19,13,13,10,9,12.833333333333334,6,Both,The AIMR System,The AIMR System,The AIMR System,7,6,7,NA,7,7,7,users see and manipulate the same nodes instead of each doing their own,NA,6,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
17,9,Sticky notes,6,4,5,5,7,6,16,11,6,4,13,3,8.833333333333334,7,Sticky notes,The AIMR System,Sticky notes,Sticky notes,4,1,3,I think having the AI generated summaries was not as effective. We were saying a lot of thoughts at once and not being able to see all ideas were frustrating. I was waiting for certain summaries to appear so that I could use them.,5,3,4,I think having more than 3 summaries would be nice maybe having a larger board available.,I felt I wanted to connect ideas that were said early in our dialogue with ideas from the past but could not because they weren’t appearing fast enough.,4,Unsatisfied,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,NA,NA,NA
18,9,Sticky notes,5,6,2,5,3,4,7,4,1,18,9,1,6.666666666666667,7,Both,Sticky notes,The AIMR System,Both,7,4,3,"I think the AI tool was very efficient in allowing us to group various ideas into the clusters that we desired, as well as connecting the ideas them selves. I do think that the generation of ideas based on speak was a little slow, making it more difficult to have the ideas needed to organize.",6,5,6,Give the ability to write things down in the mix reality space? Or rather be able to type it out.,Minor bugs such as the wobbling and jumping of clusters.,6,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,NA,NA,NA
19,10,AIMR,3,2,4,5,2,3,8,14,7,7,12,12,10,4,Neither,Sticky notes,The AIMR System,Sticky notes,5,2,2,"The ar sometimes records chatting which is not a fully developed idea, I also find it hard to find nodes I’m looking for to get generated",5,3,4,"It’s a prettier and more organized visual graph, it also occupies a nice real life space",Physical eye strain.,4,Very unsatisfied,Unsatisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,"I enjoyed watching the nodes physical simulation, I didn’t enjoy the complexity of finding nodes and organizing them at the end",NA,NA
20,10,AIMR,2,1,2,4,2,1,14,21,10,18,14,20,16.166666666666668,1,Sticky notes,Sticky notes,Sticky notes,Sticky notes,1,1,1,NA,1,1,1,allow the user to directly write/capture an idea into a node,NA,1,Unsatisfied,Neutral,Neutral,Neutral,Unsatisfied,Neutral,Neutral,some ideas were quickly skipped over when using skip nodes,NA,NA
21,11,Sticky notes,7,7,7,7,7,7,6,12,6,1,13,4,7,7,Both,The AIMR System,The AIMR System,Both,5,5,4,NA,5,6,6,Fixing the bugs,NA,5,Satisfied,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Unsatisfied,Unsatisfied,NA,NA,NA
22,11,Sticky notes,5,5,5,5,5,6,4,3,4,13,7,1,5.333333333333333,3,Sticky notes,Sticky notes,Sticky notes,Sticky notes,3,3,3,NA,4,3,3,Just making it less complicated and instead maybe a digital tool based on AI but not VR could be more useful and efficient.,NA,2,Neutral,Unsatisfied,Unsatisfied,Neutral,Unsatisfied,Unsatisfied,Unsatisfied,NA,NA,NA
25,13,AIMR,6,7,7,7,6,7,14,4,12,3,9,1,7.166666666666667,7,Both,The AIMR System,The AIMR System,The AIMR System,6,6,6,NA,7,7,7,Collab with ppl,NA,7,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,I really like the fire sound! Very calming!!,NA,NA
26,13,AIMR,6,6,6,6,6,6,19,15,13,15,12,4,13,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,6,5,NA,6,6,6,It could help us better visualize the ideas in a more immersive environment.,"Sometimes the main panel was accidentally moved, and I will need to readjust it",6,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,I like how I was forced to cluster them into 3 groups.,NA,NA
27,14,AIMR,4,3,5,4,4,5,9,7,2,11,2,13,7.333333333333333,5,Both,Both,The AIMR System,The AIMR System,7,5,5,"The convenience of having the brainstorm be automated is what I see as the value of this task, however it is still very hands on.",7,5,7,"Make the node connection and generation be seamless, and not on the user. The system should be good enough to create the brainstorm on its own, and then changing the graph as a human should be easy",NA,5,Very Satisfied,Unsatisfied,Neutral,Satisfied,Neutral,Neutral,Very unsatisfied,NA,NA,NA
28,14,AIMR,6,6,6,6,6,6,4,1,5,5,4,4,3.8333333333333335,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,6,6,6,NA,6,5,6,More node options,Nodes would come in too slow and there wasn’t enough clusters,6,Satisfied,Satisfied,Satisfied,Unsatisfied,Satisfied,Satisfied,Satisfied,Enjoyed,NA,NA
29,15,AIMR,6,4,6,6,7,6,4,10,5,17,9,9,9,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,6,5,5,"I feel like it removes the friction between idea and writing, which slows down the brainstorming process",6,7,6,"Having the ideas be closer, some were randomly very far",Some ideas were registered a lot of times,6,Neutral,Very Satisfied,Neutral,Unsatisfied,Unsatisfied,Very Satisfied,Satisfied,It felt very natural to simply speak and get the system to register them without worrying about it,NA,NA
30,15,AIMR,6,7,7,5,6,3,8,14,9,14,8,6,9.833333333333334,5,Both,The AIMR System,The AIMR System,The AIMR System,7,5,5,NA,6,6,6,It was great,NA,6,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Neutral,NA,NA,NA
31,16,Sticky notes,4,4,5,3,5,5,12,12,5,14,4,5,8.666666666666666,6,The AIMR System,The AIMR System,Sticky notes,The AIMR System,5,3,3,"I feel like the AI just focus on the content not combining with topic, so the generated gray bubbles are sometimes not correct",6,4,6,"Uiux, change the color after the bubbles are generated",Hard to brainstorm when I need to check the gray bubbles,5,Neutral,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,NA,NA
32,16,Sticky notes,5,4,5,4,7,6,5,6,8,12,8,11,8.333333333333334,4,Both,Both,Both,The AIMR System,4,4,4,NA,5,3,5,need more guiding for new users,NA,6,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,nice ambient sound！,NA,NA
33,17,Sticky notes,6,7,7,7,7,4,11,11,15,8,11,4,10,4,Sticky notes,Sticky notes,Sticky notes,Sticky notes,4,3,3,It kept generating the same phrases over and over again,4,5,5,"I think that making both players be able to see the same categories would really help-- like see the same things, maybe both have their own dashboard and nodes but then connect them together and stuff",NA,5,Unsatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
